model,sigma,L,Gamma,chi,poles,MPO_bond_dimension,MPO_error,E0,E1,gap,ground_variance,excited_variance,normalized_ground_variance,normalized_excited_variance,discarded_weight,convergence_residual,correlation_ratio,ed_E0,ed_E1,ed_gap,ed_correlation_ratio,ed_energy_relative_error,correlation_ratio_absolute_error,runtime,git_commit
long_range,1.75,32,1.54,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.50527699590428,,,3.798841134994291e-7,,1.189797674013694e-10,,,1.3751222383007189e-12,0.3794046329630111,,,,,,,246.50128412246704,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.56,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.983485971676046,,,3.694049155456014e-7,,1.1376394473232163e-10,,,1.389333093015921e-10,0.34422305836797057,,,,,,,232.96848917007446,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.58,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.47106639208181,,,3.51851213054033e-7,,1.0652720718808676e-10,,,1.2509537850036168e-10,0.3131453539189699,,,,,,,228.66103601455688,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.6,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.9673736682264,,,3.42010025633499e-7,,1.0178214254787683e-10,,,1.2954082251326327e-12,0.2859486233718153,,,,,,,247.0018880367279,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,64,1.52,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-112.0041184496063,,,1.622802665224299e-5,,1.293593211754458e-9,,,6.072153890812615e-11,0.5015726429826985,,,,,,,341.8646340370178,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,64,1.54,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-112.9347707134418,,,1.7120144548243843e-5,,1.3423076899993576e-9,,,5.5961235645440865e-11,0.4197570342641743,,,,,,,336.1431620121002,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,64,1.56,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-113.88907259224,,,1.6529920685570687e-5,,1.2744026233534716e-9,,,4.842393153126068e-11,0.3494772536311071,,,,,,,337.3392939567566,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,64,1.58,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-114.86581054253132,,,1.4734738215338439e-5,,1.1167626005693015e-9,,,4.2057690663455105e-11,0.29260049141057587,,,,,,,345.1835079193115,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,64,1.6,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-115.86270620905705,,,1.2423890439094976e-5,,9.254869017881017e-10,,,3.616962285235559e-11,0.248195820127632,,,,,,,331.1085011959076,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.38,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.051634793157966,,,2.410993147350382e-7,,8.898713569449288e-11,,,1.6293633109398797e-12,0.4585893348228571,,,,,,,247.27514004707336,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.4,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.498664590969156,,,2.474116627126932e-7,,8.97684352647318e-11,,,1.7004175845158898e-12,0.4095427349991735,,,,,,,254.7225239276886,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.42,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.95690062391026,,,2.4810879040160216e-7,,8.847020476674573e-11,,,1.1349809980742975e-12,0.3657088640306768,,,,,,,252.5003309249878,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.44,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.42591789285903,,,2.3779239199939184e-7,,8.330939312452467e-11,,,1.0866862965031032e-12,0.32731159709353513,,,,,,,272.53479194641113,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.46,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.90506032560834,,,2.2177573555381969e-7,,7.632291614445247e-11,,,7.706272286966964e-10,0.2941695380471177,,,,,,,223.5149281024933,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,64,1.38,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-104.05488020883213,,,9.316194336861372e-6,,8.604262119449694e-10,,,5.544742442964434e-11,0.5633030961884777,,,,,,,332.93430495262146,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,64,1.4,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-104.9425134909257,,,1.0238652976113372e-5,,9.296937253132675e-10,,,6.655309636727225e-11,0.4608961781444712,,,,,,,341.2975060939789,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,64,1.42,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-105.85624284852781,,,1.0147434295504354e-5,,9.055726486516473e-10,,,5.814559944639086e-11,0.371743124583377,,,,,,,331.60850501060486,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,64,1.44,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-106.79554884464906,,,9.207809853251092e-6,,8.07328043066074e-10,,,4.441280676559245e-11,0.3006369534912854,,,,,,,335.8823928833008,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,64,1.46,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-107.75812492905662,,,7.758635547361337e-6,,6.681674275278555e-10,,,3.711386753479928e-11,0.24703147352986507,,,,,,,341.92751908302307,5b254486579d4041e900f3266df067a8f85edfc4
